"","X","song","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"2064",279,"50.mp3",171.767367310931,7.60192687237387,-15.6990809905746,17.3579709601417,-14.1288902289989,17.3068237978114,-10.8443248349747,19.4269288133284,-9.52941882777252,19.1062801054126,-5.63815538897341,15.5104119287603,"electronic"
"2065",280,"50.mp3",175.437500471955,2.79064523711973,-8.14252395734336,13.6311878743706,-10.8690810296826,16.6461188356119,-11.0014501702832,18.0750666895899,-13.3761105416231,17.1999854300721,-12.0250719196128,17.1123620896089,"electronic"
"2066",281,"50.mp3",176.966230279041,3.09541151234657,-9.72962438875219,12.6545817136039,-12.3746141912663,16.620277814126,-10.9949944416979,18.767696475277,-12.695242173829,18.7423407852829,-10.5340904640767,18.2778717278222,"electronic"
"2067",282,"50.mp3",178.650824797352,3.51366123322499,-12.6336140548453,14.4702913158929,-14.0336048894,16.33455417454,-13.9562519463236,19.1708141223234,-13.8894916989174,20.2157808049415,-11.2415497982497,19.170239647128,"electronic"
"2068",283,"51.mp3",161.801757258943,12.9270698083293,-17.7060368360765,7.60061861382717,-12.209096312764,7.13161904320346,-13.1012264488978,9.49420984088944,-14.5874746196404,8.21128926652605,-7.34180383134245,13.5034359434,"electronic"
"2069",284,"51.mp3",170.407903683271,9.47208074509102,-11.7074732571314,15.2007513182671,-16.4425286544737,13.4769904387441,-13.2988440490273,8.28436872954072,-12.4466044372997,10.5994760631322,-5.83280041339965,9.02531413310155,"electronic"
"2070",285,"51.mp3",176.696306617608,4.27965129954014,-1.84983818423834,4.91497389414283,-12.3434514503731,11.7860299726989,-15.2598012767678,12.8124528572475,-13.0601584546593,17.0232669259042,-13.0831297293729,19.4417886430402,"electronic"
"2071",286,"51.mp3",178.944888555444,2.93890039500902,-8.52679571905934,5.43640531249384,-4.66890576646101,12.1725313821372,-19.1582591787909,9.40711470433138,-15.406450283934,16.391970601712,-9.1408967402277,23.5061503338413,"electronic"
"2072",287,"51.mp3",179.031146095662,3.84051276480939,-3.88876459757559,7.97628289167475,-11.5186796528232,9.22286250339375,-18.0142004184117,5.92203674661569,-19.4891572936271,16.2945472831115,-10.7251491593243,19.4026913853746,"electronic"
"2073",288,"51.mp3",180.671768625857,4.94132072304122,-6.68324881855662,2.94403118325934,-12.9716830262242,12.156806995508,-11.4004238171619,13.873701732101,-18.0103525422582,9.92401705544554,-16.7873044557806,20.4782062099906,"electronic"
"2074",289,"52.mp3",151.587348536861,18.6560935766833,-7.20869354878355,6.11878173733025,-6.5300319685373,7.38623168810289,-4.61293147072669,12.7842945596742,-11.3343848808132,8.68112148713373,-4.06311449274483,6.07462599842036,"electronic"
"2075",290,"52.mp3",158.202713562081,21.442756594204,-8.0365064603958,5.76973855944221,-8.91878218506418,6.88592237176966,-6.08155487013439,10.9489295966967,-13.8190025196058,4.46135387380311,-6.10566698506347,3.15099108312256,"electronic"
"2076",291,"52.mp3",164.520239127973,11.9354955477093,-14.5504009612278,15.7910146324136,-12.1299760064267,11.5435479744499,-7.30255629460138,12.9470857693054,-8.14357560470395,11.2416311823396,-9.8981744984659,8.40345369721678,"electronic"
"2077",292,"52.mp3",169.345596322352,14.2843793534182,-12.8136810848439,13.5124422348177,-13.0892976193349,11.2273847723102,-9.13677607437452,11.9772061117602,-11.800769128834,12.4974602334255,-13.7591933360355,8.83886456285116,"electronic"
"2078",293,"52.mp3",164.759937401349,11.9341154412659,-14.5186008913124,15.0487759577099,-10.9713060964069,11.9256859710808,-6.8987028622459,13.0421139519227,-8.56972129738311,13.1168220643705,-10.2784205823931,10.0090230507577,"electronic"
"2079",294,"52.mp3",165.192127112328,13.2975499326367,-13.2694719182662,14.7873974373572,-10.9564555894618,12.1011413869143,-4.91192130203311,11.8025836181707,-8.77063927044647,9.91123946957573,-9.06841577133134,9.45249793602062,"electronic"
"2080",295,"53.mp3",149.768365519826,21.7126842060413,-19.4026932692749,-0.22565843924866,6.21409412737943,2.04970928938507,-16.9851565530743,5.5432898972042,-9.53222709933053,2.3133152403533,-9.50155455960973,3.33332487714287,"electronic"
"2081",296,"53.mp3",161.752774276121,10.3514604803222,-14.7388293773258,7.20538321987353,-3.74294273106932,11.9396530298627,-23.6589508202364,10.7805019620985,-12.1667405509796,7.80192977610892,-17.3131456355581,13.87574412127,"electronic"
"2082",297,"53.mp3",171.150014116732,5.05031345240736,-9.25354315902659,12.2936624247298,-11.9096341053651,15.4049407084912,-13.2008394667822,18.546778661617,-11.9862695042759,14.8436743121388,-9.60500790869196,12.0634601818167,"electronic"
"2083",298,"53.mp3",171.023652879208,5.06521572521222,-9.92430427781101,12.802770663098,-12.0769613484084,15.8864451419274,-12.7664303587878,19.5928045896999,-11.5311944284851,15.5289926756046,-9.02377513061435,11.9989329079733,"electronic"
"2084",299,"53.mp3",171.57325802164,7.91437091623725,-10.1976619502014,15.6874373645322,-12.8708770076819,17.7890290075467,-16.3453868366917,19.7156532314554,-15.4587471728045,15.6849808223012,-12.2982429217397,11.7859320117236,"electronic"
"2085",300,"53.mp3",166.959959128789,11.3273567401124,-10.9163529503571,11.4047175474865,-9.44287808927331,15.8840263614284,-15.6264565690026,14.3824155056865,-15.8429085249468,11.9423680548414,-11.4713803493291,12.0921226658448,"electronic"
