"","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"70",162.797724354425,10.2989368439349,-8.14109694468442,12.8724455878405,-9.87800459778439,12.9494791438845,-13.7605529247893,11.9959908038109,-17.1387220990952,5.31745313170164,-14.2083547382887,8.19410469682258,"classical"
"75",147.610255277628,23.5389866931817,0.039635154050667,8.32317078028992,-11.2779170087925,1.78119069494571,-13.4708261179206,3.75476073380941,-13.411263378022,-5.73762055411077,-15.4241946412868,-4.06600204658035,"classical"
"76",151.484463593453,22.5771469749064,-2.12129059811036,9.08534345637477,-9.5294522425706,3.7188091970098,-14.9809377878012,2.7398677715216,-13.2996950309086,-1.98378426215416,-14.2621904942425,-2.15722664446433,"classical"
"78",157.550807506836,18.4294738156719,-14.3862841451691,9.37462224787726,-11.3049668082299,15.933204026462,-14.6854708230568,9.93386844979163,-10.998120482704,6.7844077578136,-6.77991144529962,2.05420322550069,"classical"
"85",163.185196492086,18.2722881738303,-18.4019475498636,7.40304303253653,-18.3037259006062,9.87516705377732,-16.6603145085129,14.4097680649512,-6.3566273940859,7.90220212718448,-13.2812002205585,-2.43712224487962,"classical"
"95",155.628295403245,16.2681882992164,-10.5492880864493,6.39434057874588,-12.8296966456566,7.23616899829214,-14.1459209161523,10.6472000535215,-7.35243807922579,6.3351147831869,-11.3531261950384,2.11222728277487,"classical"
"103",172.626270837694,14.1613361524602,-17.9860035825284,13.4381411255076,-13.3319649728889,15.4980028851779,-17.466592434107,12.8717956211513,-12.9285498853016,6.50466355744272,-12.0323013226209,5.37740341305337,"classical"
"104",175.052286107155,13.5292282542401,-16.6536619869675,14.7650637186633,-14.6680993609398,15.5587112574025,-18.317026919096,12.105560923652,-11.2594365942893,9.53934341340493,-11.0133176925118,5.48380669356438,"classical"
"107",173.906874400296,9.31959524431076,-16.003506214362,21.4738491272735,-21.2817582462364,21.6733727162362,-22.2675906838845,16.7407701570514,-22.1639739055791,8.78062519940308,-13.1148027093445,6.18719183780639,"classical"
"110",168.32749454359,8.57966290829243,-14.4323992449433,22.2404976626406,-18.3737190091225,20.5768394571087,-21.8748688702171,15.4127627585003,-22.3373498849564,5.37348796854734,-13.0097198882613,5.35283276790306,"classical"
"111",175.335787483343,9.49203000024265,-16.4534837605049,21.2366868343484,-21.8258556854022,21.8337224422622,-22.7383314610269,18.1807798411089,-21.0712353194048,8.61010865234276,-13.7919155958659,4.43979109656153,"classical"
"123",167.425992032722,16.8528880968565,-16.8434683182858,8.79991536819056,-11.179035956084,11.6929956799848,-17.5038987104517,6.29750495828561,-11.8540927096016,4.86869199293127,-9.72014562128029,12.3010546765729,"classical"
"125",163.945040316972,16.3452179141918,-14.1430103682677,7.84574716454551,-11.3561428603719,6.3759414322599,-13.5892580750639,12.4307656476554,-9.44509504946329,12.0838841816039,-10.4728047495265,8.77345752128694,"classical"
"126",157.646631194301,19.1784757961689,-12.1769705729816,5.51172145423278,-9.17106478643188,5.79170483176731,-10.2377630946372,10.6760541344581,-8.92618498011163,4.91098887090292,-14.4669088061271,5.83530210567806,"classical"
"127",164.58715637877,14.9077210496173,-14.8296787048706,7.89228912231193,-10.2376346701323,6.17348029002257,-12.8214032578425,12.6346175629425,-8.28476884854434,11.393906988433,-12.5860885638006,5.25417475684977,"classical"
"130",160.417910130452,18.8251667096292,-16.3348705766194,4.26410388773978,-9.45745051805108,1.73830891667082,-11.655494909619,15.2736710956946,-7.36967948192497,8.16745149930951,-8.10908998341004,10.0275418481208,"classical"
"131",160.044062192938,5.8763674134288,-19.7539676254445,5.53441545656697,-14.5833547327145,-1.44676879184814,-18.9771213722952,-3.61381888647517,-23.6221019379295,1.32149117542659,-11.3250380841095,5.83956231258037,"classical"
